YEAR,Month,VALUE
1992,1,1.99
1992,2,6.18
1992,3,3.54
1992,4,1.07
1992,5,0.25
1992,6,0.62
1992,7,0.45
1992,8,0.23
1992,9,0.06
1992,10,1.99
1992,11,0.76
1992,12,6.25
1993,1,9.23
1993,2,5.96
1993,3,3.13
1993,4,1.63
1993,5,1.29
1993,6,1.28
1993,7,0.07
1993,8,0.26
1993,9,0.04
1993,10,0.82
1993,11,1.29
1993,12,2.8
1994,1,1.99
1994,2,3.95
1994,3,1.22
1994,4,1.41
1994,5,1.22
1994,6,0.15
1994,7,0.04
1994,8,0.11
1994,9,0.33
1994,10,0.74
1994,11,3.75
1994,12,2.93
1995,1,12.96
1995,2,1.56
1995,3,9.41
1995,4,2.8
1995,5,1.9
1995,6,1.18
1995,7,0.18
1995,8,0.09
1995,9,0.08
1995,10,0.08
1995,11,0.44
1995,12,5.69
1996,1,5.01
1996,2,6.25
1996,3,2.66
1996,4,2.22
1996,5,2.1
1996,6,0.19
1996,7,0.24
1996,8,0.16
1996,9,0.3
1996,10,1.6
1996,11,3.64
1996,12,9.05
1997,1,8.15
1997,2,0.74
1997,3,0.88
1997,4,1.05
1997,5,0.43
1997,6,0.65
1997,7,0.32
1997,8,0.33
1997,9,1.17
1997,10,1.15
1997,11,3.76
1997,12,3.08
1998,1,7.31
1998,2,11.16
1998,3,4.01
1998,4,2.29
1998,5,3.33
1998,6,0.83
1998,7,0.22
1998,8,0.18
1998,9,0.75
1998,10,0.79
1998,11,4.22
1998,12,2.14
1999,1,3.67
1999,2,5.25
1999,3,2.5
1999,4,1.99
1999,5,0.49
1999,6,0.29
1999,7,0.36
1999,8,0.31
1999,9,0.23
1999,10,0.75
1999,11,2.34
1999,12,0.88
2000,1,5.39
2000,2,7.16
2000,3,2.08
2000,4,1.88
2000,5,0.99
2000,6,0.36
2000,7,0.08
2000,8,0.3
2000,9,0.43
2000,10,2.34
2000,11,0.83
2000,12,0.9
2001,1,3.39
2001,2,4.35
2001,3,2.35
2001,4,1.84
2001,5,0.17
2001,6,0.32
2001,7,0.32
2001,8,0.11
2001,9,0.33
2001,10,0.65
2001,11,4.23
2001,12,5.36
2002,1,2.5
2002,2,1.6
2002,3,2.03
2002,4,0.81
2002,5,0.69
2002,6,0.09
2002,7,0.08
2002,8,0.02
2002,9,0.11
2002,10,0.07
2002,11,3.21
2002,12,7.92
2003,1,2.37
2003,2,2.59
2003,3,2.84
2003,4,4.02
2003,5,1.11
2003,6,0.04
2003,7,0.18
2003,8,0.7
2003,9,0.2
2003,10,0.04
2003,11,2.27
2003,12,5.99
2004,1,2.45
2004,2,5.81
2004,3,1.05
2004,4,0.86
2004,5,0.41
2004,6,0.1
2004,7,0.09
2004,8,0.23
2004,9,0.21
2004,10,4.07
2004,11,1.54
2004,12,5.07
2005,1,5.96
2005,2,3.84
2005,3,3.88
2005,4,1.74
2005,5,2.71
2005,6,0.78
2005,7,0.18
2005,8,0.31
2005,9,0.3
2005,10,1.04
2005,11,2.18
2005,12,7.45
2006,1,5.36
2006,2,2.49
2006,3,5.7
2006,4,4.51
2006,5,0.85
2006,6,0.19
2006,7,0.21
2006,8,0.06
2006,9,0.08
2006,10,0.41
2006,11,2.25
2006,12,3.37
2007,1,0.79
2007,2,4.32
2007,3,0.87
2007,4,1.24
2007,5,0.36
2007,6,0.16
2007,7,0.25
2007,8,0.18
2007,9,0.52
2007,10,1.59
2007,11,0.72
2007,12,3.5
2008,1,6.67
2008,2,3.22
2008,3,0.64
2008,4,0.36
2008,5,0.6
2008,6,0.03
2008,7,0.16
2008,8,0.13
2008,9,0.06
2008,10,0.69
2008,11,2.57
2008,12,3.2
2009,1,1.38
2009,2,4.79
2009,3,2.47
2009,4,0.66
2009,5,1.49
2009,6,0.6
2009,7,0.06
2009,8,0.12
2009,9,0.11
2009,10,2.23
2009,11,1.04
2009,12,3.2
2010,1,6.58
2010,2,3.73
2010,3,2.2
2010,4,3.55
2010,5,1.16
2010,6,0.33
2010,7,0.08
2010,8,0.1
2010,9,0.23
2010,10,3.14
2010,11,2.66
2010,12,8.55
2011,1,1.38
2011,2,3.5
2011,3,6.7
2011,4,1.17
2011,5,1.43
2011,6,1.19
2011,7,0.2
2011,8,0.13
2011,9,0.28
2011,10,1.63
2011,11,1.73
2011,12,0.49
2012,1,3.22
2012,2,1.1
2012,3,5.08
2012,4,2.76
2012,5,0.23
2012,6,0.34
2012,7,0.24
2012,8,0.32
2012,9,0.08
2012,10,1
2012,11,3.59
2012,12,7.02
2013,1,1.11
2013,2,0.56
2013,3,1.3
2013,4,0.83
2013,5,0.6
2013,6,0.44
2013,7,0.23
2013,8,0.28
2013,9,0.9
2013,10,0.29
2013,11,0.97
2013,12,0.45
2014,1,0.54
2014,2,3.8
2014,3,3.71
2014,4,1.25
2014,5,0.35
2014,6,0.07
2014,7,0.22
2014,8,0.4
2014,9,0.68
2014,10,1.11
2014,11,1.92
2014,12,6.37
2015,1,0.66
2015,2,2.91
2015,3,0.77
2015,4,1.09
2015,5,0.82
2015,6,0.21
2015,7,0.76
2015,8,0.11
2015,9,0.36
2015,10,0.83
2015,11,1.86
2015,12,5.09
